영화 제목,썸네일,유튜브 제목,어그로표현 있음,내용,자극,의문,THUMB,내용있는어그로,video_id,자극+의문,char
"100인,인간을말하다",https://i.ytimg.com/vi/1FhZxcKYmE0/hqdefault.jpg,남녀 중 우월한 성별을 통계학적으로 증명하는 천조국 예능 ㄷ,1,0,1,0,1,0,1FhZxcKYmE0,1,9
101달마시안,https://i.ytimg.com/vi/ntplV87tOMw/hqdefault.jpg,천재견의 새끼들을 건들면 벌어지는 일,1,1,1,1,0,1,ntplV87tOMw,2,5
10분,https://i.ytimg.com/vi/P_Zc-MtVJjM/hqdefault.jpg,계약직으로 회사에 들어가면 벌어지는 일   ,1,1,0,1,1,1,P_Zc-MtVJjM,1,6
10분,https://i.ytimg.com/vi/dXP0DuNCyFI/hqdefault.jpg,안녕하시오! 제가 바로 헬조선의 꼰대 개저씨올시다!,1,1,1,0,0,1,dXP0DuNCyFI,1,6
127시간,https://i.ytimg.com/vi/ZwfD2R3XoIk/hqdefault.jpg,절대 중국산 칼을 사면 안되는 이유,1,0,1,1,0,0,ZwfD2R3XoIk,2,6
127시간,https://i.ytimg.com/vi/XbV-q06-4RQ/hqdefault.jpg,        미친실화! 숨막히는 초! 과연 당신의 선택은?,1,1,1,1,1,1,XbV-q06-4RQ,2,9
127시간,https://i.ytimg.com/vi/g1L0jnGLZys/hqdefault.jpg,절벽아래 팔이 낀채 고립된 남자의 운명  실화      ,1,1,0,1,1,1,g1L0jnGLZys,1,7
127시간,https://i.ytimg.com/vi/pJXY-sA7CLk/hqdefault.jpg,   생존고수가 살아남는 방법,1,1,1,1,1,1,pJXY-sA7CLk,2,4
127시간,https://i.ytimg.com/vi/5eb-SvjjMTM/hqdefault.jpg,시간동안 바위와 사투를 벌인 남자   ,1,1,0,1,1,1,5eb-SvjjMTM,1,5
12번째솔저,https://i.ytimg.com/vi/P0ySfURaeM0/hqdefault.jpg,노르웨이가 독일군으로부터 당했던 만행  실화      ,1,1,0,1,1,1,P0ySfURaeM0,1,5
12번째솔저,https://i.ytimg.com/vi/GZuAtgvUwKo/hqdefault.jpg,이게 진짜 실화라고?! 독일군의 무서운 추적 속 부상당한 반란군의 소름 돋는 탈주 방법      ,1,1,1,1,1,1,GZuAtgvUwKo,2,15
12솔져스,https://i.ytimg.com/vi/MK3deQ37SZw/hqdefault.jpg,적진에서 명을 물리친 전설의 미국 특수부대   ㄷ,1,1,1,0,1,1,MK3deQ37SZw,1,7
12솔져스2018,https://i.ytimg.com/vi/2JYZW0xiHQM/hqdefault.jpg, 실화  현대전에서 말 타고 적을 쓸어버린 최강 미 특수부대를 제대로 보여준 영화,1,1,1,0,0,1,2JYZW0xiHQM,1,12
13구역,https://i.ytimg.com/vi/Lu_CG29Ewww/hqdefault.jpg,보면 무조건 감탄하게 되는 최강 격투 실력,1,1,1,0,1,1,Lu_CG29Ewww,1,7
